,ticker,name,market,locale,primary_exchange,type,active,currency_name,cik,composite_figi,share_class_figi,last_updated_utc
3345,MLM,Martin Marietta Materials,stocks,us,XNYS,CS,True,usd,0000916076,BBG000BGYMH7,BBG001S7QC51,2022-01-26T00:00:00Z
3346,MLNK,"MeridianLink, Inc.",stocks,us,XNYS,CS,True,usd,0001834494,BBG002ZYMKQ5,BBG002ZYMKR4,2022-01-26T00:00:00Z
3347,MLP,Maui Land & Pineapple Co.,stocks,us,XNYS,CS,True,usd,0000063330,BBG000BB52X6,BBG001S5T7D4,2022-01-26T00:00:00Z
3348,MLR,"Miller Industries, Inc.",stocks,us,XNYS,CS,True,usd,0000924822,BBG000BXFWH9,BBG001S7BMD6,2022-01-26T00:00:00Z
3349,MLSS,"Milestone Scientific, Inc. Common Stock",stocks,us,XASE,CS,True,usd,0000855683,BBG000JJP0K7,BBG001SB7BF4,2022-01-26T00:00:00Z
3350,MLVF,"Malvern Bancorp, Inc.",stocks,us,XNAS,CS,True,usd,0001550603,BBG000Q447R3,BBG001SM5958,2022-01-26T00:00:00Z
3351,MMAT,Meta Materials Inc. Common Stock,stocks,us,XNAS,CS,True,usd,0001431959,BBG000K6Y764,BBG001T3WTK8,2022-01-26T00:00:00Z
3352,MMC,"Marsh & McLennan Companies, Inc.",stocks,us,XNYS,CS,True,usd,0000062709,BBG000BP4MH0,BBG001S5T7M4,2022-01-26T00:00:00Z
3353,MMI,MARCUS & MILLICHAP,stocks,us,XNYS,CS,True,usd,0001578732,BBG005GBRSR6,BBG005GBRSS5,2022-01-26T00:00:00Z
3354,MMLP,Martin Midstream Partners LP,stocks,us,XNAS,CS,True,usd,0001176334,BBG000NMJFC8,BBG001SGDV17,2022-01-26T00:00:00Z
3355,MMM,3M Company,stocks,us,XNYS,CS,True,usd,0000066740,BBG000BP52R2,BBG001S5T7X2,2022-01-26T00:00:00Z
3356,MMMB,"MamaMancini's Holdings, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001520358,BBG001QB7PK9,BBG001V1FNH5,2022-01-26T00:00:00Z
3357,MMP,"Magellan Midstream Partners, L.P.",stocks,us,XNYS,CS,True,usd,0001126975,BBG000BCJXW2,BBG001S731Q7,2022-01-26T00:00:00Z
3358,MMS,"MAXIMUS, Inc.",stocks,us,XNYS,CS,True,usd,0001032220,BBG000BC5WJ4,BBG001S6G4K5,2022-01-26T00:00:00Z
3359,MMSI,Merit Medical Systems Inc,stocks,us,XNAS,CS,True,usd,0000856982,BBG000C42VX0,BBG001S6KLT3,2022-01-26T00:00:00Z
3360,MMX,Maverix Metals Inc. Common Shares,stocks,us,XASE,CS,True,usd,0001773250,BBG0015YTF57,BBG001T071X9,2022-01-26T00:00:00Z
3361,MMYT,MakeMyTrip Limited,stocks,us,XNAS,CS,True,usd,0001495153,,,2022-01-26T00:00:00Z
3362,MN,"MANNING & NAPIER, INC.",stocks,us,XNYS,CS,True,usd,0001524223,BBG001VGY0M5,BBG001VGY1D3,2022-01-26T00:00:00Z
3363,MNDO,Mind CTI Ltd,stocks,us,XNAS,CS,True,usd,0001119083,,,2022-01-26T00:00:00Z
3364,MNDT,"Mandiant, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001370880,BBG0020B4JG7,BBG0020B4JH6,2022-01-26T00:00:00Z
3365,MNDY,monday.com Ltd. Ordinary Shares,stocks,us,XNAS,CS,True,usd,0001845338,,,2022-01-26T00:00:00Z
3366,MNKD,Mannkind Corporation,stocks,us,XNAS,CS,True,usd,0000899460,BBG000PPL3G9,BBG001SLLLY3,2022-01-26T00:00:00Z
3367,MNMD,Mind Medicine (MindMed) Inc. Subordinate Voting Shares,stocks,us,XNAS,CS,True,usd,0001813814,BBG0017VRJC7,BBG001TCSL84,2022-01-26T00:00:00Z
3368,MNOV,"Medicinova, Inc.",stocks,us,XNAS,CS,True,usd,0001226616,BBG000QQWMN4,BBG001SNG8P4,2022-01-26T00:00:00Z
3369,MNPR,Monopar Therapeutics Inc. Common Stock,stocks,us,XNAS,CS,True,usd,0001645469,BBG00J7K8D90,BBG00J7K8DB7,2022-01-26T00:00:00Z
3370,MNR,Monmouth Real Estate Investment Corp,stocks,us,XNYS,CS,True,usd,0000067625,BBG000BLZD12,BBG001S5S834,2022-01-26T00:00:00Z
3371,MNRL,"Brigham Minerals, Inc. Class A Common Stock",stocks,us,XNYS,CS,True,usd,0001745797,BBG00NNGLW13,BBG00NNGLWS4,2022-01-26T00:00:00Z
3372,MNRO,"Monro, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0000876427,BBG000C0BZD1,BBG001S62LS4,2022-01-26T00:00:00Z
3373,MNSB,"MainStreet Bancshares, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001693577,BBG000QRB2P7,BBG001SNH4N4,2022-01-26T00:00:00Z
3374,MNST,Monster Beverage Corporation,stocks,us,XNAS,CS,True,usd,0000865752,BBG008NVB1C0,BBG008NVB1F7,2022-01-26T00:00:00Z
3375,MNTK,"Montauk Renewables, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001826600,BBG00YHYK2C2,BBG00YHYK376,2022-01-26T00:00:00Z
3376,MNTN,Everest Consolidator Acquisition Corporation,stocks,us,XNYS,CS,True,usd,0001863719,BBG014FP36M7,BBG014FP37G2,2022-01-26T00:00:00Z
3377,MNTS,Momentus Inc. Class A Common Stock,stocks,us,XNAS,CS,True,usd,0001781162,BBG00QJCX1H8,BBG00QJCX277,2022-01-26T00:00:00Z
3378,MNTV,Momentive Global Inc. Common Stock,stocks,us,XNAS,CS,True,usd,0001739936,BBG00LVGQZL4,BBG00LVGQZM3,2022-01-26T00:00:00Z
3379,MNTX,"Manitex International, Inc.",stocks,us,XNAS,CS,True,usd,0001302028,BBG000L96Q11,BBG001SJY1X9,2022-01-26T00:00:00Z
3380,MO,"Altria Group, Inc.",stocks,us,XNYS,CS,True,usd,0000764180,BBG000BP6LJ8,BBG001S5T8T5,2022-01-26T00:00:00Z
3381,MOBQ,"Mobiquity Technologies, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001084267,BBG000G434X5,BBG001SNTWR5,2022-01-26T00:00:00Z
3382,MOD,Modine Manufacturing Co,stocks,us,XNYS,CS,True,usd,0000067347,BBG000BP7CL4,BBG001S5T913,2022-01-26T00:00:00Z
3383,MODN,"MODEL N, INC.",stocks,us,XNYS,CS,True,usd,0001118417,BBG000GQ39H3,BBG001SQGHS4,2022-01-26T00:00:00Z
3384,MODV,ModivCare Inc. Common Stock,stocks,us,XNAS,CS,True,usd,0001220754,BBG000P1B7C8,BBG001SL2C10,2022-01-26T00:00:00Z
3385,MOFG,MidWestOne Financial Group,stocks,us,XNAS,CS,True,usd,0001412665,BBG000BQVV88,BBG001SCDXR4,2022-01-26T00:00:00Z
3386,MOG.A,Moog Inc.,stocks,us,XNYS,CS,True,usd,0000067887,BBG000BP7RH6,BBG001S5T922,2022-01-26T00:00:00Z
3387,MOG.B,MOOG INC CL B,stocks,us,XNYS,CS,True,usd,0000067887,BBG000BP8360,BBG001S5T931,2022-01-26T00:00:00Z
3388,MOGO,Mogo Inc. Common Shares,stocks,us,XNAS,CS,True,usd,0001602842,BBG000BNDCQ7,BBG001S8J9P2,2022-01-26T00:00:00Z
3389,MOH,"Molina Healthcare, Inc.",stocks,us,XNYS,CS,True,usd,0001179929,BBG000MBHNC8,BBG001SKBQ20,2022-01-26T00:00:00Z
3390,MON,Monument Circle Acquisition Corp. Class A Common Stock,stocks,us,XNAS,CS,True,usd,0001828325,BBG00YPSJ318,BBG00YPSJ327,2022-01-26T00:00:00Z
3391,MORF,"Morphic Holding, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001679363,BBG00PBD6W06,BBG00PBD6WR7,2022-01-26T00:00:00Z
3392,MORN,"Morningstar, Inc.",stocks,us,XNAS,CS,True,usd,0001289419,BBG000CGQ4F7,BBG001SC6FV6,2022-01-26T00:00:00Z
3393,MOS,The Mosaic Company,stocks,us,XNYS,CS,True,usd,0001285785,BBG000BFXHL6,BBG001S7LJN1,2022-01-26T00:00:00Z
3394,MOTS,"Motus GI Holdings, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001686850,BBG00JPRS4N7,BBG00JPRS5C6,2022-01-26T00:00:00Z
3395,MOTV,Motive Capital Corp,stocks,us,XNYS,CS,True,usd,0001827821,,,2022-01-26T00:00:00Z
3396,MOV,"Movado Group, Inc.",stocks,us,XNYS,CS,True,usd,0000072573,BBG000BL30Y9,BBG001S8FWS2,2022-01-26T00:00:00Z
3397,MOVE,Movano Inc. Common Stock,stocks,us,XNAS,CS,True,usd,0001734750,BBG00X0V8H84,BBG00X0V8H93,2022-01-26T00:00:00Z
3398,MOXC,Moxian (BVI) Inc Ordinary Shares,stocks,us,XNAS,CS,True,usd,0001864055,,,2022-01-26T00:00:00Z
3399,MP,MP Materials Corp.,stocks,us,XNYS,CS,True,usd,0001801368,BBG00TJGL0F0,BBG00TJGL0T5,2022-01-26T00:00:00Z
3400,MPAA,"Motorcar Parts of America, Inc.",stocks,us,XNAS,CS,True,usd,0000918251,BBG000BJS1P5,BBG001S7VFF7,2022-01-26T00:00:00Z
3401,MPAC,Model Performance Acquisition Corp. Class A Ordinary Share,stocks,us,XNAS,CS,True,usd,0001841993,,,2022-01-26T00:00:00Z
3402,MPB,"Mid Penn Bancorp, Inc.",stocks,us,XNAS,CS,True,usd,0000879635,BBG000BB7F65,BBG001S5T0G6,2022-01-26T00:00:00Z
3403,MPC,MARATHON PETROLEUM CORPORATION,stocks,us,XNYS,CS,True,usd,0001510295,BBG001DCCGR8,BBG001S169P1,2022-01-26T00:00:00Z
3404,MPLN,MultiPlan Corporation,stocks,us,XNYS,CS,True,usd,0001793229,BBG00RLZ9M74,BBG00RLZ9M83,2022-01-26T00:00:00Z
3405,MPLX,MPLX LP,stocks,us,XNYS,CS,True,usd,0001552000,BBG0035TJGV4,BBG0035TJHL3,2022-01-26T00:00:00Z
3406,MPRA,Mercato Partners Acquisition Corporation Class A Common Stock,stocks,us,XNAS,CS,True,usd,0001853436,BBG013QQ8RB6,BBG013QQ8S51,2022-01-26T00:00:00Z
3407,MPW,"Medical Properties Trust, Inc.",stocks,us,XNYS,CS,True,usd,0001287865,BBG000BGRB25,BBG001S7WM61,2022-01-26T00:00:00Z
3408,MPWR,"Monolithic Power Systems, Inc.",stocks,us,XNAS,CS,True,usd,0001280452,BBG000C30L48,BBG001SDRGP6,2022-01-26T00:00:00Z
3409,MPX,Marine Products Corp.,stocks,us,XNYS,CS,True,usd,0001129155,BBG000BC0955,BBG001S6HCC5,2022-01-26T00:00:00Z
3410,MQ,"Marqeta, Inc. Class A Common Stock",stocks,us,XNAS,CS,True,usd,0001522540,BBG0112Z87D8,BBG0112Z8873,2022-01-26T00:00:00Z
3411,MRAI,"Marpai, Inc. Class A Common Stock",stocks,us,XNAS,CS,True,usd,0001844392,BBG011WQW2R4,BBG011WQW3M7,2022-01-26T00:00:00Z
3412,MRAM,"Everspin Technologies, Inc",stocks,us,XNAS,CS,True,usd,0001438423,BBG000N7MXY4,BBG001T53643,2022-01-26T00:00:00Z
3413,MRBK,Meridian Corporation,stocks,us,XNAS,CS,True,usd,0001750735,BBG000QRG7X2,BBG001SNH9L5,2022-01-26T00:00:00Z
3414,MRC,MRC GLOBAL INC.,stocks,us,XNYS,CS,True,usd,0001439095,BBG000BKLTM1,BBG001SN9P56,2022-01-26T00:00:00Z
3415,MRCC,Monroe Capital Corporation,stocks,us,XNAS,CS,True,usd,0001512931,BBG001KFNK01,BBG001V0NY75,2022-01-26T00:00:00Z
3416,MRCY,Mercury Systems Inc.,stocks,us,XNAS,CS,True,usd,0001049521,BBG000BX5GS3,BBG001SBFLT8,2022-01-26T00:00:00Z
