,date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades,symbol
73,2021-12-21,10:43,10:43 AM,151.92,151.82,151.92,151.9,151.901,1200,182281.5,11,A
74,2021-12-21,10:44,10:44 AM,151.925,151.83,151.925,151.83,151.882,300,45564.5,3,A
75,2021-12-21,10:45,10:45 AM,,,,,,0,0.0,0,A
76,2021-12-21,10:46,10:46 AM,,,,,,0,0.0,0,A
77,2021-12-21,10:47,10:47 AM,151.625,151.55,151.625,151.62,151.609,247,37447.35,3,A
78,2021-12-21,10:48,10:48 AM,151.66,151.55,151.55,151.66,151.636,176,26687.93,4,A
79,2021-12-21,10:49,10:49 AM,151.55,151.55,151.55,151.55,151.55,100,15155.0,1,A
80,2021-12-21,10:50,10:50 AM,151.66,151.58,151.6,151.66,151.607,419,63523.48,8,A
81,2021-12-21,10:51,10:51 AM,151.53,151.53,151.53,151.53,151.53,18,2727.54,1,A
82,2021-12-21,10:52,10:52 AM,151.75,151.75,151.75,151.75,151.75,100,15175.0,1,A
83,2021-12-21,10:53,10:53 AM,151.84,151.64,151.655,151.84,151.739,405,61454.275,5,A
84,2021-12-21,10:54,10:54 AM,,,,,,0,0.0,0,A
85,2021-12-21,10:55,10:55 AM,151.87,151.87,151.87,151.87,151.87,1,151.87,1,A
86,2021-12-21,10:56,10:56 AM,151.89,151.89,151.89,151.89,151.89,45,6835.05,3,A
87,2021-12-21,10:57,10:57 AM,,,,,,0,0.0,0,A
88,2021-12-21,10:58,10:58 AM,152.13,152.01,152.01,152.13,152.081,537,81667.46,7,A
89,2021-12-21,10:59,10:59 AM,152.15,152.08,152.15,152.135,152.122,600,91273.24,8,A
90,2021-12-21,11:00,11 AM,152.14,151.97,152.14,152.06,152.082,410,62353.7,6,A
91,2021-12-21,11:01,11:01 AM,152.125,152.02,152.09,152.125,152.074,315,47903.35,5,A
92,2021-12-21,11:02,11:02 AM,152.135,152.005,152.135,152.05,152.094,530,80610.0,6,A
93,2021-12-21,11:03,11:03 AM,151.98,151.89,151.98,151.945,151.966,308,46805.62,4,A
94,2021-12-21,11:04,11:04 AM,,,,,,0,0.0,0,A
95,2021-12-21,11:05,11:05 AM,152.08,151.835,151.835,151.975,151.981,474,72038.89,12,A
96,2021-12-21,11:06,11:06 AM,152.025,151.96,151.98,151.96,152.009,304,46210.84,4,A
97,2021-12-21,11:07,11:07 AM,152.11,152.11,152.11,152.11,152.11,10,1521.1,1,A
98,2021-12-21,11:08,11:08 AM,,,,,,0,0.0,0,A
99,2021-12-21,11:09,11:09 AM,152.16,152.09,152.15,152.09,152.105,222,33767.42,5,A
100,2021-12-21,11:10,11:10 AM,152.07,151.81,152.07,151.81,152.04,227,34512.97,4,A
101,2021-12-21,11:11,11:11 AM,151.91,151.8,151.8,151.87,151.891,96,14581.58,5,A
102,2021-12-21,11:12,11:12 AM,,,,,,0,0.0,0,A
103,2021-12-21,11:13,11:13 AM,151.865,151.865,151.865,151.865,151.865,100,15186.5,1,A
104,2021-12-21,11:14,11:14 AM,151.75,151.75,151.75,151.75,151.75,100,15175.0,1,A
105,2021-12-21,11:15,11:15 AM,151.71,151.7,151.71,151.7,151.703,150,22755.5,2,A
106,2021-12-21,11:16,11:16 AM,151.735,151.715,151.735,151.73,151.725,210,31862.3,3,A
107,2021-12-21,11:17,11:17 AM,151.73,151.68,151.73,151.68,151.683,213,32308.475,5,A
108,2021-12-21,11:18,11:18 AM,151.52,151.39,151.52,151.42,151.449,233,35287.61,4,A
109,2021-12-21,11:19,11:19 AM,151.51,151.47,151.47,151.51,151.509,111,16817.47,3,A
110,2021-12-21,11:20,11:20 AM,,,,,,0,0.0,0,A
111,2021-12-21,11:21,11:21 AM,151.485,151.485,151.485,151.485,151.485,200,30297.0,2,A
112,2021-12-21,11:22,11:22 AM,151.44,151.44,151.44,151.44,151.44,331,50126.64,4,A
113,2021-12-21,11:23,11:23 AM,151.44,151.44,151.44,151.44,151.44,100,15144.0,1,A
114,2021-12-21,11:24,11:24 AM,151.29,151.29,151.29,151.29,151.29,100,15129.0,1,A
115,2021-12-21,11:25,11:25 AM,151.32,151.18,151.305,151.18,151.305,111,16794.88,3,A
116,2021-12-21,11:26,11:26 AM,151.345,151.225,151.225,151.345,151.325,240,36318.0,4,A
117,2021-12-21,11:27,11:27 AM,151.43,151.345,151.345,151.43,151.384,414,62673.08,7,A
118,2021-12-21,11:28,11:28 AM,151.43,151.39,151.43,151.39,151.41,200,30282.0,2,A
119,2021-12-21,11:29,11:29 AM,151.32,151.32,151.32,151.32,151.32,10,1513.2,1,A
120,2021-12-21,11:30,11:30 AM,151.505,151.44,151.44,151.505,151.483,410,62107.9,5,A
121,2021-12-21,11:31,11:31 AM,151.51,151.51,151.51,151.51,151.51,100,15151.0,1,A
122,2021-12-21,11:32,11:32 AM,151.515,151.49,151.49,151.515,151.512,224,33938.76,3,A
123,2021-12-21,11:33,11:33 AM,151.54,151.41,151.41,151.54,151.466,31,4695.44,5,A
124,2021-12-21,11:34,11:34 AM,151.665,151.665,151.665,151.665,151.665,300,45499.5,3,A
125,2021-12-21,11:35,11:35 AM,151.665,151.58,151.665,151.58,151.609,500,75804.505,7,A
126,2021-12-21,11:36,11:36 AM,151.64,151.55,151.555,151.55,151.622,516,78236.85,9,A
127,2021-12-21,11:37,11:37 AM,151.6,151.6,151.6,151.6,151.6,14,2122.4,1,A
128,2021-12-21,11:38,11:38 AM,151.725,151.66,151.66,151.725,151.719,110,16689.1,2,A
129,2021-12-21,11:39,11:39 AM,151.715,151.715,151.715,151.715,151.715,100,15171.5,1,A
130,2021-12-21,11:40,11:40 AM,151.79,151.73,151.73,151.79,151.77,127,19274.81,3,A
131,2021-12-21,11:41,11:41 AM,151.85,151.78,151.79,151.85,151.799,143,21707.28,4,A
132,2021-12-21,11:42,11:42 AM,152.17,152.065,152.065,152.17,152.115,210,31944.2,3,A
133,2021-12-21,11:43,11:43 AM,152.17,152.09,152.17,152.09,152.129,560,85192.4,7,A
134,2021-12-21,11:44,11:44 AM,152.15,152.05,152.15,152.05,152.053,614,93360.62,8,A
135,2021-12-21,11:45,11:45 AM,,,,,,0,0.0,0,A
136,2021-12-21,11:46,11:46 AM,151.975,151.96,151.96,151.975,151.961,110,16715.75,2,A
137,2021-12-21,11:47,11:47 AM,152.055,151.975,151.975,152.055,152.015,200,30403.0,2,A
